institution,city,state,carnegie_basic,campus
LaSalle Tech,Houma,LA,-2,
Fletcher Technical Community College,Schriever,LA,4,
Remington College-Lafayette Campus,Lafayette,LA,8,
SOWELA Technical Community College,Lake Charles,LA,7,
Stevensons Academy of Hair Design,New Orleans,LA,-2,
Southeastern Louisiana University,Hammond,LA,18,
Southern University and A & M College,Baton Rouge,LA,16,
Southern University at New Orleans,New Orleans,LA,19,
Southern University at Shreveport,Shreveport,LA,9,
University of Louisiana at Lafayette,Lafayette,LA,15,
Northshore Technical Community College,Lacombe,LA,8,
Tulane University of Louisiana,New Orleans,LA,15,
Xavier University of Louisiana,New Orleans,LA,19,
College of the Atlantic,Bar Harbor,ME,21,
Bates College,Lewiston,ME,21,
Beal University,Bangor,ME,7,0
Beal University,Wilton,ME,,1
Bowdoin College,Brunswick,ME,21,
Maine College of Health Professions,Lewiston,ME,26,
Central Maine Community College,Auburn,ME,4,
Colby College,Waterville,ME,21,
Eastern Maine Community College,Bangor,ME,8,
Kennebec Valley Community College,Fairfield,ME,8,
The Landing School,Arundel,ME,11,
University of Maine at Augusta,Augusta,ME,22,
University of Maine at Farmington,Farmington,ME,22,
University of Maine at Fort Kent,Fort Kent,ME,22,
University of Maine,Orono,ME,15,
Maine Maritime Academy,Castine,ME,22,
University of Maine at Presque Isle,Presque Isle,ME,22,
University of New England,Biddeford,ME,16,
Northern Maine Community College,Presque Isle,ME,8,
Empire Beauty School-Maine,Portland,ME,-2,
Maine College of Art & Design,Portland,ME,30,
Saint Joseph's College of Maine,Standish,ME,18,
Spa Tech Institute-Westbrook,Westbrook,ME,-2,
Southern Maine Community College,South Portland,ME,5,
University of Southern Maine,Portland,ME,18,
Thomas College,Waterville,ME,20,
Unity College,New Gloucester,ME,20,
Washington County Community College,Calais,ME,7,
Allegany College of Maryland,Cumberland,MD,7,
Anne Arundel Community College,Arnold,MD,5,
Award Beauty School,Hagerstown,MD,-2,
Baltimore Studio of Hair Design,Baltimore,MD,-2,
Baltimore City Community College,Baltimore,MD,4,
University of Baltimore,Baltimore,MD,18,
Bowie State University,Bowie,MD,18,
Capitol Technology University,Laurel,MD,17,
Cecil College,North East,MD,4,
College of Southern Maryland,La Plata,MD,2,
Chesapeake College,Wye Mills,MD,4,
Washington Adventist University,Takoma Park,MD,20,
Coppin State University,Baltimore,MD,20,
Del-Mar-Va Beauty Academy,Salisbury,MD,-2,
North American Trade Schools,Baltimore,MD,-2,
Frederick Community College,Frederick,MD,8,
Frostburg State University,Frostburg,MD,18,
Garrett College,McHenry,MD,1,
Goucher College,Baltimore,MD,21,
Hagerstown Community College,Hagerstown,MD,5,
Harford Community College,Bel Air,MD,4,
Hood College,Frederick,MD,18,
Howard Community College,Columbia,MD,2,
Aveda Institute-Maryland,Bel Air,MD,-2,
Johns Hopkins University,Baltimore,MD,15,
Lincoln College of Technology-Columbia,Columbia,MD,7,
Loyola University Maryland,Baltimore,MD,18,
University of Maryland Global Campus,Adelphi,MD,18,
University of Maryland Baltimore,Baltimore,MD,27,
University of Maryland-Baltimore County,Baltimore,MD,15,
University of Maryland-College Park,College Park,MD,15,
Maryland Institute College of Art,Baltimore,MD,30,
University of Maryland Eastern Shore,Princess Anne,MD,16,
Fortis Institute-Towson,Towson,MD,-2,
Montgomery Beauty School,Silver Spring,MD,-2,
Montgomery College,Rockville,MD,2,
Morgan State University,Baltimore,MD,16,
Mount St. Mary's University,Emmitsburg,MD,19,
Ner Israel Rabbinical College,Baltimore,MD,24,
Hair Academy,New Carrollton,MD,-2,0
Hair Academy,Chillicothe,OH,-2,1
Notre Dame of Maryland University,Baltimore,MD,18,
Prince George's Community College,Largo,MD,2,
Maryland Beauty Academy of Essex,Baltimore,MD,-2,
Salisbury University,Salisbury,MD,18,
St. Mary's College of Maryland,St. Mary's City,MD,21,
St. John's College,Annapolis,MD,21,0
St. John's College,Santa Fe,NM,21,1
Towson University,Towson,MD,18,
Maryland University of Integrative Health,Laurel,MD,26,
United States Naval Academy,Annapolis,MD,21,
Stevenson University,Owings Mills,MD,18,
Washington College,Chestertown,MD,21,
McDaniel College,Westminster,MD,18,
Wor-Wic Community College,Salisbury,MD,7,
Hult International Business School,Cambridge,MA,29,
American International College,Springfield,MA,17,
Amherst College,Amherst,MA,21,
Anna Maria College,Paxton,MA,19,
Assabet Valley Regional Technical School,Marlborough,MA,-2,
Assumption University,Worcester,MA,19,
Babson College,Wellesley,MA,29,
Bancroft School of Massage Therapy,Worcester,MA,-2,
Boston Baptist College,Boston,MA,24,
Bay Path University,Longmeadow,MA,18,
Bay State College,Boston,MA,22,
Bentley University,Waltham,MA,18,
Berklee College of Music,Boston,MA,18,
Berkshire Community College,Pittsfield,MA,4,
Empire Beauty School-Boston,Boston,MA,-2,
Boston Architectural College,Boston,MA,30,
Boston Graduate School of Psychoanalysis Inc,Brookline,MA,26,
Boston College,Chestnut Hill,MA,15,
Boston University,Boston,MA,15,
Brandeis University,Waltham,MA,15,
Bridgewater State University,Bridgewater,MA,18,
Bristol Community College,Fall River,MA,1,
Signature Healthcare Brockton Hospital School of Nursing,Brockton,MA,-2,
Bunker Hill Community College,Boston,MA,1,
Cambridge College,Boston,MA,18,
Cape Cod Community College,West Barnstable,MA,5,
Catherine Hinds Institute of Esthetics,Woburn,MA,-2,
Laboure College of Healthcare,Milton,MA,26,
Clark University,Worcester,MA,16,
Conway School of Landscape Design,Northampton,MA,32,
Curry College,Milton,MA,20,
Lincoln Technical Institute-Somerville,Somerville,MA,-2,
Dean College,Franklin,MA,22,
Diman Regional Technical Institute,Fall River,MA,-2,
National Aviation Academy of New England,Concord,MA,-2,
Eastern Nazarene College,Quincy,MA,20,
Emerson College,Boston,MA,18,
Endicott College,Beverly,MA,18,
Rob Roy Academy-Fall River,Fall River,MA,-2,
Fisher College,Boston,MA,22,
Fitchburg State University,Fitchburg,MA,18,
Framingham State University,Framingham,MA,18,
Benjamin Franklin Cummings Institute of Technology,Boston,MA,23,
Gordon College,Wenham,MA,21,
Gordon-Conwell Theological Seminary,South Hamilton,MA,24,
Greenfield Community College,Greenfield,MA,5,
Hampshire College,Amherst,MA,21,
Harvard University,Cambridge,MA,15,
Hebrew College,Newton Centre,MA,24,
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,21,
College of the Holy Cross,Worcester,MA,21,
Holyoke Community College,Holyoke,MA,1,
Lasell University,Newton,MA,18,
Lawrence Memorial Hospital School of Nursing,Medford,MA,10,
Lesley University,Cambridge,MA,17,
Longy School of Music of Bard College,Cambridge,MA,30,
Lowell Academy Hairstyling Institute,Lowell,MA,-2,
University of Massachusetts-Lowell,Lowell,MA,16,
University of Massachusetts-Amherst,Amherst,MA,15,
University of Massachusetts-Boston,Boston,MA,16,
Massachusetts Bay Community College,Wellesley Hills,MA,6,
MCPHS University,Boston,MA,26,
Massachusetts College of Art and Design,Boston,MA,30,
Massachusetts Institute of Technology,Cambridge,MA,15,
Massachusetts Maritime Academy,Buzzards Bay,MA,20,
University of Massachusetts Chan Medical School,Worcester,MA,27,
William James College,Newton,MA,26,
Massachusetts School of Barbering,Quincy,MA,-2,
Massasoit Community College,Brockton,MA,8,
Merrimack College,North Andover,MA,18,
MGH Institute of Health Professions,Boston,MA,26,
Montserrat College of Art,Beverly,MA,22,
Mount Holyoke College,South Hadley,MA,21,
Mount Wachusett Community College,Gardner,MA,7,
Rob Roy Academy-New Bedford,New Bedford,MA,-2,
The New England Conservatory of Music,Boston,MA,30,
New England College of Optometry,Boston,MA,26,
New England Law-Boston,Boston,MA,31,
Nichols College,Dudley,MA,19,
Massachusetts College of Liberal Arts,North Adams,MA,21,
North Bennet Street School,Boston,MA,-2,
North Shore Community College,Danvers,MA,4,
Northeastern University,Boston,MA,15,
Northern Essex Community College,Haverhill,MA,4,
College of Our Lady of the Elms,Chicopee,MA,19,
Pope St John XXIII National Seminary,Weston,MA,24,
Quincy College,Quincy,MA,3,
Quinsigamond Community College,Worcester,MA,4,
Regis College,Weston,MA,18,
Roxbury Community College,Roxbury Crossing,MA,1,
Saint John's Seminary,Brighton,MA,24,
Salem State University,Salem,MA,18,
Simmons University,Boston,MA,17,
Bard College at Simon's Rock,Great Barrington,MA,23,
Smith College,Northampton,MA,21,
Southeastern Technical Institute,South Easton,MA,-2,
Springfield College,Springfield,MA,17,
Springfield Technical Community College,Springfield,MA,7,
University of Massachusetts-Dartmouth,North Dartmouth,MA,16,
Stonehill College,Easton,MA,21,
Suffolk University,Boston,MA,17,
Rob Roy Academy-Taunton,Taunton,MA,-2,
Tufts University,Medford,MA,15,
Wellesley College,Wellesley,MA,21,
Wentworth Institute of Technology,Boston,MA,20,
Western New England University,Springfield,MA,17,
Westfield State University,Westfield,MA,18,
Wheaton College (Massachusetts),Norton,MA,21,
Williams College,Williamstown,MA,21,
Worcester Polytechnic Institute,Worcester,MA,16,
Worcester State University,Worcester,MA,18,
Adrian College,Adrian,MI,22,
Albion College,Albion,MI,21,
Hillsdale Beauty College,Hillsdale,MI,-2,0
Hillsdale Beauty College,Hillsdale,MI,,1
Northwestern Technological Institute,Southfield,MI,-2,
Alma College,Alma,MI,22,
Alpena Community College,Alpena,MI,14,
Andrews University,Berrien Springs,MI,17,
Aquinas College,Grand Rapids,MI,21,
Baker College,Owosso,MI,19,
Bay de Noc Community College,Escanaba,MI,5,
Bayshire Academy of Beauty Craft Inc,Bay City,MI,-2,
Calvin University,Grand Rapids,MI,20,
Calvin Theological Seminary,Grand Rapids,MI,24,
Carnegie Institute,Troy,MI,-2,
Michigan School of Psychology,Farmington Hills,MI,26,
Central Michigan University,Mount Pleasant,MI,16,
Mott Community College,Flint,MI,1,
Empire Beauty School-Michigan,Grand Rapids,MI,-2,
Cleary University,Howell,MI,29,
Concordia University Ann Arbor,Ann Arbor,MI,20,
Cranbrook Academy of Art,Bloomfield Hills,MI,30,
College for Creative Studies,Detroit,MI,30,
Davenport University,Grand Rapids,MI,18,
David Pressley School of Cosmetology,Royal Oak,MI,-2,
Delta College,University Center,MI,1,
Detroit Business Institute-Downriver,Riverview,MI,-2,
MIAT College of Technology,Canton,MI,11,
University of Detroit Mercy,Detroit,MI,17,
Dorsey College,Madison Heights,MI,-2,
Eastern Michigan University,Ypsilanti,MI,16,
Creative Hair School of Cosmetology,Flint,MI,-2,
Ferris State University,Big Rapids,MI,17,
Glen Oaks Community College,Centreville,MI,6,
Kettering University,Flint,MI,19,
Gogebic Community College,Ironwood,MI,7,
Grace Christian University,Wyoming,MI,22,
Cornerstone University,Grand Rapids,MI,18,
Grand Rapids Community College,Grand Rapids,MI,4,
Grand Valley State University,Allendale,MI,17,
Great Lakes Christian College,Lansing,MI,22,
Henry Ford College,Dearborn,MI,14,
Hillsdale College,Hillsdale,MI,21,
Hope College,Holland,MI,21,
Jackson College,Jackson,MI,14,
Kalamazoo College,Kalamazoo,MI,21,
Kalamazoo Valley Community College,Kalamazoo,MI,2,
Kellogg Community College,Battle Creek,MI,9,
Kirtland Community College,Grayling,MI,9,
Michigan College of Beauty-Monroe,Monroe,MI,-2,
Lake Michigan College,Benton Harbor,MI,14,
Lake Superior State University,Sault Ste Marie,MI,22,
Lansing Community College,Lansing,MI,4,
Lawrence Technological University,Southfield,MI,18,
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,-2,
Macomb Community College,Warren,MI,4,
Madonna University,Livonia,MI,19,
Rochester University,Rochester Hills,MI,22,
University of Michigan-Ann Arbor,Ann Arbor,MI,15,
The Michigan Barber School,Detroit,MI,-2,
Michigan State University,East Lansing,MI,15,
Michigan Technological University,Houghton,MI,16,
University of Michigan-Dearborn,Dearborn,MI,18,
University of Michigan-Flint,Flint,MI,17,
Mid Michigan College,Harrison,MI,5,
Monroe County Community College,Monroe,MI,5,
Montcalm Community College,Sidney,MI,4,
Muskegon Community College,Muskegon,MI,5,
North Central Michigan College,Petoskey,MI,3,
Northern Michigan University,Marquette,MI,19,
Northwestern Michigan College,Traverse City,MI,14,
Northwood University,Midland,MI,29,
Oakland Community College,Auburn Hills,MI,2,
Oakland University,Rochester Hills,MI,16,
Olivet College,Olivet,MI,22,
Port Huron Cosmetology College,Waterford,MI,-2,
Kuyper College,Grand Rapids,MI,22,
Ross Medical Education Center-Lansing,Lansing,MI,-2,
Ross Medical Education Center-Warren,Warren,MI,-2,
Ross Medical Education Center-Flint,Flint,MI,-2,
Sacred Heart Major Seminary,Detroit,MI,21,
Saginaw Valley State University,University Center,MI,18,
Schoolcraft Community College District,Livonia,MI,14,
Siena Heights University,Adrian,MI,19,
St Clair County Community College,Port Huron,MI,2,
Southwestern Michigan College,Dowagiac,MI,4,
Spring Arbor University,Spring Arbor,MI,18,
Michigan Career and Technical Institute,Plainwell,MI,-2,
Finlandia University,Hancock,MI,22,
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,31,
Twin City Beauty College,Saint Joseph,MI,-2,
Walsh College,Troy,MI,29,
Washtenaw Community College,Ann Arbor,MI,3,
Wayne County Community College District,Detroit,MI,3,
Wayne State University,Detroit,MI,15,
West Shore Community College,Scottville,MI,6,
Paul Mitchell the School-Grand Rapids,Kentwood,MI,-2,
Western Michigan University,Kalamazoo,MI,16,
Western Theological Seminary,Holland,MI,24,
Academy College,Bloomington,MN,28,
Alexandria Technical & Community College,Alexandria,MN,9,
Anoka Technical College,Anoka,MN,7,
Anoka-Ramsey Community College,Coon Rapids,MN,3,
Augsburg University,Minneapolis,MN,18,
Riverland Community College,Austin,MN,6,
Northwest Technical College,Bemidji,MN,9,
Bemidji State University,Bemidji,MN,20,
Bethany Lutheran College,Mankato,MN,21,
Central Lakes College-Brainerd,Brainerd,MN,6,
Carleton College,Northfield,MN,21,
Concordia College at Moorhead,Moorhead,MN,21,
Concordia University-Saint Paul,Saint Paul,MN,18,
Dakota County Technical College,Rosemount,MN,7,
Martin Luther College,New Ulm,MN,32,
Lake Superior College,Duluth,MN,9,
Minnesota State Community and Technical College,Fergus Falls,MN,8,
Minnesota West Community and Technical College,Granite Falls,MN,9,
Gustavus Adolphus College,Saint Peter,MN,21,
Hamline University,Saint Paul,MN,18,
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,26,
Hennepin Technical College,Brooklyn Park,MN,8,
Minnesota North College,Hibbing,MN,8,
Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,-2,
Inver Hills Community College,Inver Grove Heights,MN,3,
Luther Seminary,Saint Paul,MN,24,
Macalester College,Saint Paul,MN,21,
South Central College,North Mankato,MN,8,
Minnesota State University-Mankato,Mankato,MN,18,
Mayo Clinic College of Medicine and Science,Rochester,MN,27,
Metropolitan State University,Saint Paul,MN,19,
University of Minnesota-Twin Cities,Minneapolis,MN,15,
University of Minnesota-Crookston,Crookston,MN,22,
Minneapolis College of Art and Design,Minneapolis,MN,30,
Minneapolis Community and Technical College,Minneapolis,MN,5,
Herzing University-Minneapolis,St. Louis Park,MN,26,
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,-2,
University of Minnesota-Duluth,Duluth,MN,18,
University of Minnesota-Morris,Morris,MN,21,
Model College of Hair Design,Saint Cloud,MN,-2,
Minnesota State University Moorhead,Moorhead,MN,18,
North Hennepin Community College,Brooklyn Park,MN,3,
Normandale Community College,Bloomington,MN,3,
North Central University,Minneapolis,MN,22,
Northland Community and Technical College,Thief River Falls,MN,8,
University of Northwestern-St Paul,Saint Paul,MN,20,
Northwestern Health Sciences University,Bloomington,MN,26,
Oak Hills Christian College,Bemidji,MN,22,
Pine Technical & Community College,Pine City,MN,9,
Rochester Community and Technical College,Rochester,MN,5,
College of Saint Benedict,Saint Joseph,MN,21,
St Cloud Technical and Community College,Saint Cloud,MN,7,
Saint Cloud State University,Saint Cloud,MN,18,
Saint Johns University,Collegeville,MN,21,
Saint Mary's University of Minnesota,Winona,MN,17,
St Olaf College,Northfield,MN,21,
Crown College,Saint Bonifacius,MN,19,
The College of Saint Scholastica,Duluth,MN,17,
University of St Thomas,Saint Paul,MN,17,0
University of St Thomas,Houston,TX,17,1
Empire Beauty School-Bloomington,Bloomington,MN,-2,
St Catherine University,Saint Paul,MN,17,
Rasmussen University-Minnesota,St. Cloud,MN,23,
Saint Paul College,Saint Paul,MN,5,
Southwest Minnesota State University,Marshall,MN,18,
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,-2,
United Theological Seminary of the Twin Cities,St. Paul,MN,24,
Dunwoody College of Technology,Minneapolis,MN,23,
Ridgewater College,Willmar,MN,8,
Minnesota State College Southeast,Winona,MN,9,
Winona State University,Winona,MN,19,
Mitchell Hamline School of Law,Saint Paul,MN,31,
Century College,White Bear Lake,MN,5,0
Century College,San Juan,PR,-2,1
Alcorn State University,Alcorn State,MS,20,
Belhaven University,Jackson,MS,17,
Blue Mountain Christian University,Blue Mountain,MS,22,
Chris Beauty College,Gulfport,MS,-2,
Coahoma Community College,Clarksdale,MS,7,
Copiah-Lincoln Community College,Wesson,MS,4,
Delta State University,Cleveland,MS,18,
East Central Community College,Decatur,MS,4,
East Mississippi Community College,Scooba,MS,7,
Fosters Cosmetology College,Ripley,MS,-2,
Academy of Hair Design-Grenada,Grenada,MS,-2,
Hinds Community College,Raymond,MS,8,
Holmes Community College,Goodman,MS,8,
Itawamba Community College,Fulton,MS,4,
Jackson State University,Jackson,MS,16,
Jones County Junior College,Ellisville,MS,4,
Meridian Community College,Meridian,MS,8,
Millsaps College,Jackson,MS,21,
Mississippi Delta Community College,Moorhead,MS,5,
University of Mississippi,University,MS,15,
Mississippi University for Women,Columbus,MS,20,
Mississippi Valley State University,Itta Bena,MS,20,
Mississippi College,Clinton,MS,17,
Hatfield's Mississippi College of Beauty Culture,Laurel,MS,-2,
Mississippi Gulf Coast Community College,Perkinston,MS,7,
Mississippi State University,Mississippi State,MS,15,
Northeast Mississippi Community College,Booneville,MS,4,
Northwest Mississippi Community College,Senatobia,MS,4,
Pearl River Community College,Poplarville,MS,4,
Rust College,Holly Springs,MS,21,
Southeastern Baptist College,Laurel,MS,23,
Southwest Mississippi Community College,Summit,MS,4,
University of Southern Mississippi,Hattiesburg,MS,15,
Tougaloo College,Tougaloo,MS,21,
Vaughn Beauty College,Aberdeen,MS,-2,
Wesley Biblical Seminary,Ridgeland,MS,24,
William Carey University,Hattiesburg,MS,17,
Aquinas Institute of Theology,Saint Louis,MO,24,
Avila University,Kansas City,MO,19,
Baptist Bible College,Springfield,MO,24,
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,-2,
Cox College,Springfield,MO,26,
Calvary University,Kansas City,MO,22,
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,-2,
Central Christian College of the Bible,Moberly,MO,24,
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,22,
University of Central Missouri,Warrensburg,MO,18,
Grand River Technical School,Chillicothe,MO,-2,
Cleveland University-Kansas City,Overland Park,KS,26,
Conception Seminary College,Conception,MO,24,
Concordia Seminary,Saint Louis,MO,24,
Cottey College,Nevada,MO,23,
Covenant Theological Seminary,Saint Louis,MO,24,
Crowder College,Neosho,MO,4,
Culver-Stockton College,Canton,MO,22,
Drury University,Springfield,MO,20,
East Central College,Union,MO,5,
Eden Theological Seminary,Webster Groves,MO,24,
Pinnacle Career Institute,Kansas City,MO,-2,
Evangel University,Springfield,MO,19,
Fontbonne University,Saint Louis,MO,19,
Four Rivers Career Center,Washington,MO,-2,
Ozarks Technical Community College,Springfield,MO,7,
Hannibal-LaGrange University,Hannibal,MO,22,
Harris-Stowe State University,Saint Louis,MO,22,
House of Heavilin Beauty College-Kansas City,Kansas City,MO,-2,
Summit Salon Academy Kansas City,Independence,MO,-2,
Jefferson College,Hillsboro,MO,4,
Paul Mitchell the School-Missouri Columbia,Columbia,MO,-2,
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,26,
Kansas City Art Institute,Kansas City,MO,30,
Kenrick Glennon Seminary,Saint Louis,MO,24,
A T Still University of Health Sciences,Kirksville,MO,25,
Lex La-Ray Technical Center,Lexington,MO,-2,
Lindenwood University,Saint Charles,MO,18,
State Technical College of Missouri,Linn,MO,7,
Logan University,Chesterfield,MO,26,
Metropolitan Community College-Kansas City,Kansas City,MO,1,
Maryville University of Saint Louis,Saint Louis,MO,17,
Missouri College of Cosmetology and Esthetics,Jefferson City,MO,-2,
Midwest Institute,Fenton,MO,10,
Midwestern Baptist Theological Seminary,Kansas City,MO,24,
Mineral Area College,Park Hills,MO,1,
Missouri Baptist University,Saint Louis,MO,18,
Missouri Southern State University,Joplin,MO,20,
Missouri Valley College,Marshall,MO,22,
Missouri Western State University,Saint Joseph,MO,20,
University of Missouri-Columbia,Columbia,MO,15,
University of Missouri-Kansas City,Kansas City,MO,16,
Missouri University of Science and Technology,Rolla,MO,16,
University of Missouri-St Louis,Saint Louis,MO,16,
Moberly Area Community College,Moberly,MO,3,
Nazarene Theological Seminary,Kansas City,MO,24,
Neosho Beauty College,Neosho,MO,-2,
Truman State University,Kirksville,MO,19,
Northwest Missouri State University,Maryville,MO,18,
Ozark Christian College,Joplin,MO,24,
College of the Ozarks,Point Lookout,MO,22,
Park University,Parkville,MO,18,
Stevens-The Institute of Business & Arts,Saint Louis,MO,22,
Poplar Bluff Technical Career Center,Poplar Bluff,MO,-2,
Ranken Technical College,Saint Louis,MO,14,
Research College of Nursing,Kansas City,MO,26,
Rockhurst University,Kansas City,MO,18,
Saint Louis University,Saint Louis,MO,16,
Salem College of Hairstyling,Rolla,MO,-2,
University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,26,
Saint Louis Community College,Bridgeton,MO,2,
Saint Paul School of Theology,Leawood,KS,24,
Southwest Baptist University,Bolivar,MO,18,
Missouri State University-West Plains,West Plains,MO,2,
St Louis College of Health Careers-St Louis,Saint Louis,MO,10,
State Fair Community College,Sedalia,MO,4,
Stephens College,Columbia,MO,20,
Southeast Missouri State University,Cape Girardeau,MO,18,
Missouri State University-Springfield,Springfield,MO,17,
Three Rivers College,Poplar Bluff,MO,1,
North Central Missouri College,Trenton,MO,7,
Kansas City University,Kansas City,MO,25,0
Kansas City University,Joplin,MO,-2,1
Washington University in St Louis,Saint Louis,MO,15,
Webster University,Saint Louis,MO,18,
Westminster College,Fulton,MO,21,0
Westminster College,New Wilmington,PA,21,1
Westminster College,Salt Lake City,UT,19,2
William Jewell College,Liberty,MO,22,
William Woods University,Fulton,MO,17,
Academy of Cosmetology Inc,Bozeman,MT,-2,
Blackfeet Community College,Browning,MT,33,
Butte Academy of Beauty Culture,Butte,MT,-2,
Highlands College of Montana Tech,Butte,MT,9,
Crevier's Academy of Cosmetology Arts,Kalispell,MT,-2,
Carroll College,Helena,MT,22,
Dawson Community College,Glendive,MT,3,
Chief Dull Knife College,Lame Deer,MT,33,
Montana State University Billings,Billings,MT,19,
Flathead Valley Community College,Kalispell,MT,6,
Aaniiih Nakoda College,Harlem,MT,33,
Fort Peck Community College,Poplar,MT,33,
Great Falls College Montana State University,Great Falls,MT,6,
University of Providence,Great Falls,MT,20,
Helena College University of Montana,Helena,MT,9,
Little Big Horn College,Crow Agency,MT,33,
Miles Community College,Miles City,MT,6,
Montana Technological University,Butte,MT,20,
Montana State University,Bozeman,MT,15,
The University of Montana,Missoula,MT,15,
Montana State University-Northern,Havre,MT,22,
Rocky Mountain College,Billings,MT,20,
Salish Kootenai College,Pablo,MT,33,
The University of Montana-Western,Dillon,MT,22,
Bellevue University,Bellevue,NE,18,
Clarkson College,Omaha,NE,26,
Bryan College of Health Sciences,Lincoln,NE,26,
Central Community College,Grand Island,NE,9,
Chadron State College,Chadron,NE,19,
College of Hair Design-Downtown,Lincoln,NE,-2,
Concordia University-Nebraska,Seward,NE,18,
Creighton University,Omaha,NE,16,
Doane University,Crete,NE,18,
Hastings College,Hastings,NE,22,
CHI Health School of Radiologic Technology,Omaha,NE,10,
Joseph's College Cosmetology,Lincoln,NE,-2,
University of Nebraska at Kearney,Kearney,NE,18,
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,26,
Metropolitan Community College Area,Omaha,NE,6,
Mid-Plains Community College,North Platte,NE,6,
Midland University,Fremont,NE,20,
University of Nebraska at Omaha,Omaha,NE,16,
Nebraska Indian Community College,Macy,NE,33,
University of Nebraska Medical Center,Omaha,NE,27,
Nebraska Wesleyan University,Lincoln,NE,20,
University of Nebraska-Lincoln,Lincoln,NE,15,
Northeast Community College,Norfolk,NE,8,
Peru State College,Peru,NE,19,
Summit Christian College,Gering,NE,24,
College of Saint Mary,Omaha,NE,19,
Southeast Community College Area,Lincoln,NE,8,
Nebraska College of Technical Agriculture,Curtis,NE,13,
Wayne State College,Wayne,NE,18,
Western Nebraska Community College,Scottsbluff,NE,5,
York University,York,NE,22,
Academy of Hair Design-Las Vegas,Las Vegas,NV,-2,
Career College of Northern Nevada,Sparks,NV,8,
College of Southern Nevada,Las Vegas,NV,14,
Las Vegas College,Las Vegas,NV,10,
University of Nevada-Las Vegas,Las Vegas,NV,15,
University of Nevada-Reno,Reno,NV,15,
Great Basin College,Elko,NV,23,
Truckee Meadows Community College,Reno,NV,14,
Western Nevada College,Carson City,NV,14,
Colby-Sawyer College,New London,NH,22,
Dartmouth College,Hanover,NH,15,
Empire Beauty School-Laconia,Laconia,NH,-2,
Empire Beauty School-Somersworth,Somersworth,NH,-2,
Franklin Pierce University,Rindge,NH,19,
University of New Hampshire-Franklin Pierce School of Law,Concord,NH,31,
Keene Beauty Academy,Keene,NH,-2,
Magdalen College,Warner,NH,21,
New England College,Henniker,NH,18,
New England School of Hair Design,West Lebanon,NH,-2,
Southern New Hampshire University,Manchester,NH,18,
New Hampshire Institute for Therapeutic Arts,Nashua,NH,-2,0
New Hampshire Institute for Therapeutic Arts,Harrison,ME,,1
University of New Hampshire-Main Campus,Durham,NH,15,
Keene State College,Keene,NH,22,
University of New Hampshire at Manchester,Manchester,NH,21,
Plymouth State University,Plymouth,NH,18,
NHTI-Concord's Community College,Concord,NH,6,
White Mountains Community College,Berlin,NH,9,
River Valley Community College,Claremont,NH,9,
Lakes Region Community College,Laconia,NH,9,
Nashua Community College,Nashua,NH,6,
Great Bay Community College,Portsmouth,NH,6,
Paul Mitchell the School-Portsmouth,Portsmouth,NH,-2,
Rivier University,Nashua,NH,19,
Saint Anselm College,Manchester,NH,21,
St Joseph School of Nursing,Nashua,NH,10,
Granite State College,Concord,NH,20,
Thomas More College of Liberal Arts,Merrimack,NH,21,
Eastwick College-Hackensack,Hackensack,NJ,8,
Assumption College for Sisters,Denville,NJ,1,
Atlantic Cape Community College,Mays Landing,NJ,1,
Fortis Institute-Wayne,Wayne,NJ,-2,
Bergen Community College,Paramus,NJ,1,
Berkeley College-Woodland Park,Woodland Park,NJ,20,
Beth Medrash Govoha,Lakewood,NJ,24,
Bloomfield College,Bloomfield,NJ,21,
Brookdale Community College,Lincroft,NJ,4,
Rowan College at Burlington County,Mount Laurel,NJ,2,
Caldwell University,Caldwell,NJ,19,
Camden County College,Blackwood,NJ,3,
Centenary University,Hackettstown,NJ,19,
Adult and Continuing Education-BCTS,Hackensack,NJ,-2,
Lincoln Technical Institute-Iselin,Iselin,NJ,-2,
American Institute-Clifton,CLIFTON,NJ,-2,
County College of Morris,Randolph,NJ,2,
Rowan College of South Jersey-Cumberland Campus,Vineland,NJ,4,
Drew University,Madison,NJ,21,
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,-2,
Essex County College,Newark,NJ,4,
Empire Beauty School-Union,Union,NJ,-2,
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,18,
Felician University,Lodi,NJ,19,
Fairleigh Dickinson University-Florham Campus,Madison,NJ,18,
Hohokus School of Trade and Technical Sciences,Paterson,NJ,-2,
Georgian Court University,Lakewood,NJ,18,
